location,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,hour,holiday
강남구,0,0,0,0,0,1,0,1,0,0
강남구,0,0,0,0,0,1,0,1,1,0
강남구,0,0,0,0,0,1,0,1,2,0
강남구,0,0,0,0,0,1,0,1,3,0
강남구,0,0,0,0,0,1,0,1,4,0
강남구,0,0,0,0,0,1,0,1,5,0
강남구,0,0,0,0,0,1,0,1,6,0
강남구,0,0,0,0,0,1,0,1,7,0
강남구,0,0,0,0,0,1,0,1,8,0
강남구,0,0,0,0,0,1,0,1,9,0
강남구,0,0,0,0,0,1,0,1,10,0
강남구,0,0,0,0,0,1,0,1,11,0
강남구,0,0,0,0,0,1,0,1,12,0
강남구,0,0,0,0,0,1,0,1,13,0
강남구,0,0,0,0,0,1,0,1,14,0
강남구,0,0,0,0,0,1,0,1,15,0
강남구,0,0,0,0,0,1,0,1,16,0
강남구,0,0,0,0,0,1,0,1,17,0
강남구,0,0,0,0,0,1,0,1,18,0
강남구,0,0,0,0,0,1,0,1,19,0
강남구,0,0,0,0,0,1,0,1,20,0
강남구,0,0,0,0,0,1,0,1,21,0
강남구,0,0,0,0,0,1,0,1,22,0
강남구,0,0,0,0,0,1,0,1,23,0
강남구,0,0,0,0,0,0,1,2,0,0
강남구,0,0,0,0,0,0,1,2,1,0
강남구,0,0,0,0,0,0,1,2,2,0
강남구,0,0,0,0,0,0,1,2,3,0
강남구,0,0,0,0,0,0,1,2,4,0
강남구,0,0,0,0,0,0,1,2,5,0
강남구,0,0,0,0,0,0,1,2,6,0
강남구,0,0,0,0,0,0,1,2,7,0
강남구,0,0,0,0,0,0,1,2,8,0
강남구,0,0,0,0,0,0,1,2,9,0
강남구,0,0,0,0,0,0,1,2,10,0
강남구,0,0,0,0,0,0,1,2,11,0
강남구,0,0,0,0,0,0,1,2,12,0
강남구,0,0,0,0,0,0,1,2,13,0
강남구,0,0,0,0,0,0,1,2,14,0
강남구,0,0,0,0,0,0,1,2,15,0
강남구,0,0,0,0,0,0,1,2,16,0
강남구,0,0,0,0,0,0,1,2,17,0
강남구,0,0,0,0,0,0,1,2,18,0
강남구,0,0,0,0,0,0,1,2,19,0
강남구,0,0,0,0,0,0,1,2,20,0
강남구,0,0,0,0,0,0,1,2,21,0
강남구,0,0,0,0,0,0,1,2,22,0
강남구,0,0,0,0,0,0,1,2,23,0
강남구,1,0,0,0,0,0,0,3,0,0
강남구,1,0,0,0,0,0,0,3,1,0
강남구,1,0,0,0,0,0,0,3,2,0
강남구,1,0,0,0,0,0,0,3,3,0
강남구,1,0,0,0,0,0,0,3,4,0
강남구,1,0,0,0,0,0,0,3,5,0
강남구,1,0,0,0,0,0,0,3,6,0
강남구,1,0,0,0,0,0,0,3,7,0
강남구,1,0,0,0,0,0,0,3,8,0
강남구,1,0,0,0,0,0,0,3,9,0
강남구,1,0,0,0,0,0,0,3,10,0
강남구,1,0,0,0,0,0,0,3,11,0
강남구,1,0,0,0,0,0,0,3,12,0
강남구,1,0,0,0,0,0,0,3,13,0
강남구,1,0,0,0,0,0,0,3,14,0
강남구,1,0,0,0,0,0,0,3,15,0
강남구,1,0,0,0,0,0,0,3,16,0
강남구,1,0,0,0,0,0,0,3,17,0
강남구,1,0,0,0,0,0,0,3,18,0
강남구,1,0,0,0,0,0,0,3,19,0
강남구,1,0,0,0,0,0,0,3,20,0
강남구,1,0,0,0,0,0,0,3,21,0
강남구,1,0,0,0,0,0,0,3,22,0
강남구,1,0,0,0,0,0,0,3,23,0
강남구,0,1,0,0,0,0,0,4,0,0
강남구,0,1,0,0,0,0,0,4,1,0
강남구,0,1,0,0,0,0,0,4,2,0
강남구,0,1,0,0,0,0,0,4,3,0
강남구,0,1,0,0,0,0,0,4,4,0
강남구,0,1,0,0,0,0,0,4,5,0
강남구,0,1,0,0,0,0,0,4,6,0
강남구,0,1,0,0,0,0,0,4,7,0
강남구,0,1,0,0,0,0,0,4,8,0
강남구,0,1,0,0,0,0,0,4,9,0
강남구,0,1,0,0,0,0,0,4,10,0
강남구,0,1,0,0,0,0,0,4,11,0
