date,hour,district,OS,RA,QS,RD,SS,SLC,SO,ST,SUT
1,0,강남구,717,10062,4582,541,102,304,289,519,65
1,0,강동구,36,3189,2008,252,91,1,19,4,1
1,0,강북구,10,2142,1135,251,18,26,46,4,2
1,0,강서구,139,4471,1948,351,7,26,101,35,13
1,0,관악구,22,1896,1270,171,27,22,25,33,10
1,0,광진구,297,2851,659,74,1,13,26,4,3
1,0,구로구,72,2378,1075,567,26,32,46,30,13
1,0,금천구,33,1393,560,696,23,9,16,12,6
1,0,노원구,1272,7023,3793,82,13,92,132,36,10
1,0,도봉구,24,3133,3123,30,0,12,56,14,1
1,0,동대문구,135,2888,1584,21,0,25,60,27,9
1,0,동작구,48,2692,909,1103,2774,28,30,6,3
1,0,마포구,185,2650,2173,1737,894,45,38,25,7
1,0,서대문구,238,1363,219,556,140,21,20,18,2
1,0,서초구,716,6362,2204,804,46,165,142,271,39
1,0,성동구,526,3089,929,6,0,2,68,4,2
1,0,성북구,92,2540,1367,165,10,186,71,95,17
1,0,송파구,401,9144,5307,1396,277,37,203,77,19
1,0,양천구,558,3890,1324,275,6,9,8,9,6
1,0,영등포구,230,3002,1265,361,15,62,96,44,9
1,0,용산구,472,4323,2479,207,3,49,62,24,10
1,0,은평구,8,234,21,102,36,49,5,11,7
1,0,종로구,36,2024,1305,149,153,105,69,72,6
1,0,중구,162,1648,699,523,199,33,44,45,7
1,0,중랑구,111,2828,711,161,2763,60,84,62,9
1,1,강남구,756,4831,2082,349,16,36,91,163,19
1,1,강동구,284,2693,1809,104,0,5,49,9,1
1,1,강북구,25,2741,1945,112,0,28,62,19,4
1,1,강서구,322,3262,1028,308,36,4,46,5,7
1,1,관악구,68,4164,2735,34,0,1,91,6,3
1,1,광진구,458,2532,1645,3,0,20,50,8,2
1,1,구로구,152,1074,646,81,2,18,9,7,3
1,1,금천구,229,2061,950,42,0,7,45,12,3
1,1,노원구,1446,5344,3135,369,297,2,64,6,0
1,1,도봉구,51,2091,1504,8,0,13,30,3,1
1,1,동대문구,438,1528,538,9,0,15,38,12,5
1,1,동작구,334,3030,1163,14,3601,4,71,5,0
1,1,마포구,191,1570,916,29,1,3,50,10,0
1,1,서대문구,149,665,101,52,0,29,29,14,1
1,1,서초구,965,6897,4287,14,0,11,166,26,5
1,1,성동구,1408,3839,930,22,6,19,110,6,1
1,1,성북구,265,2401,1037,875,245,26,51,8,1
1,1,송파구,427,5053,2778,283,8,46,121,46,5
1,1,양천구,753,2955,1450,38,0,1,27,6,0
1,1,영등포구,358,3415,1496,78,2,16,108,33,8
1,1,용산구,853,4373,1779,32,2,3,106,7,2
1,1,은평구,9,684,351,8,0,43,5,31,5
1,1,종로구,164,1084,397,519,222,23,32,11,2
1,1,중구,110,698,242,144,60,44,14,14,2
1,1,중랑구,486,4734,2017,248,380,42,112,37,12
1,2,강남구,915,5870,2807,529,0,25,135,24,8
1,2,강동구,139,1009,759,9,0,18,28,4,0
1,2,강북구,51,1642,768,0,0,8,26,0,0
1,2,강서구,253,721,127,188,6,33,23,13,3
1,2,관악구,71,5362,3959,0,0,0,85,11,4
1,2,광진구,500,2284,957,14,0,10,27,6,1
1,2,구로구,130,2357,842,9,0,2,26,4,1
1,2,금천구,215,1000,261,4,0,6,42,8,2
1,2,노원구,1869,5379,4429,0,0,48,54,11,3
1,2,도봉구,83,881,395,0,0,1,32,6,1
1,2,동대문구,342,2159,1317,0,0,9,39,11,2
1,2,동작구,452,1578,386,409,1630,4,42,6,2
1,2,마포구,422,2776,2383,51,0,0,60,7,3
1,2,서대문구,208,1198,372,62,6,7,57,8,0
1,2,서초구,2313,6266,2600,995,2,35,191,32,14
1,2,성동구,919,2348,520,76,1,26,94,24,5
1,2,성북구,180,4752,2353,0,1,70,145,32,5
1,2,송파구,537,2727,1160,176,2,5,37,8,1
1,2,양천구,1516,3399,1609,18,0,4,15,2,0
1,2,영등포구,678,2743,694,445,10,17,56,20,8
1,2,용산구,613,4435,1685,145,2,6,106,19,2
1,2,은평구,117,1303,1020,99,12,11,53,12,3
1,2,종로구,27,2421,1845,13,0,39,92,20,6
1,2,중구,109,2945,1604,194,29,38,128,35,9
1,2,중랑구,232,2640,2479,0,0,20,57,4,2
1,3,강남구,746,4862,1976,579,0,41,125,24,11
1,3,강동구,24,947,689,22,0,0,8,1,1
1,3,강북구,54,1905,1337,0,0,4,41,10,3
1,3,강서구,149,2551,1070,33,2,33,56,16,6
1,3,관악구,262,2566,1767,0,0,1,51,4,1
1,3,광진구,331,1404,927,38,0,1,47,10,3
1,3,구로구,2,38,90,4,0,14,1,4,0
1,3,금천구,5,44,75,0,0,1,0,0,0
1,3,노원구,2372,6416,3005,69,0,5,73,9,3
1,3,도봉구,51,2229,1698,0,0,1,38,6,3
1,3,동대문구,397,2452,1179,0,1,4,58,10,5
1,3,동작구,279,1677,754,4,0,30,55,12,2
1,3,마포구,682,4521,2734,65,0,6,107,20,9
1,3,서대문구,207,2332,1238,0,0,0,67,13,4
1,3,서초구,1233,5219,4003,214,1,55,175,39,10
1,3,성동구,983,2445,901,32,0,46,65,8,2
1,3,성북구,624,3405,1368,9,5,41,106,21,7
1,3,송파구,252,1807,683,230,10,0,59,13,2
1,3,양천구,1415,3626,1061,0,0,5,24,8,1
1,3,영등포구,630,2743,1106,8,0,16,51,14,2
1,3,용산구,1108,5273,4911,94,0,12,125,24,6
1,3,은평구,133,1025,1061,0,0,0,18,2,2
1,3,종로구,95,1044,654,1,0,27,26,4,0
1,3,중구,170,2254,1321,191,8,77,110,40,3
1,3,중랑구,119,554,168,40,1,1,16,3,0
1,4,강남구,578,4275,990,252,4,44,105,24,7
1,4,강동구,188,2129,2214,52,0,3,31,3,0
1,4,강북구,121,3164,1721,124,4,9,46,3,4
1,4,강서구,188,1968,495,124,3,44,47,15,10
1,4,관악구,99,3763,3644,15,0,0,50,2,5
1,4,광진구,149,1100,445,0,0,23,25,1,0
1,4,구로구,0,1075,450,23,0,9,10,8,5
1,4,금천구,5,643,1702,229,11,24,3,7,3
1,4,노원구,349,5609,4052,140,3,24,103,20,7
1,4,도봉구,259,3572,3535,20,4,5,59,7,0
1,4,동대문구,228,1486,751,28,0,7,20,1,3
1,4,동작구,290,916,16,124,82,1,12,1,0
1,4,마포구,404,3403,1577,78,2,17,106,18,4
1,4,서대문구,16,322,967,14,2,5,15,12,3
1,4,서초구,510,5314,1528,353,8,23,193,44,9
1,4,성동구,411,1905,835,51,0,35,66,4,0
1,4,성북구,165,2708,1443,90,4,77,86,50,6
1,4,송파구,340,2886,1639,178,8,14,58,26,4
1,4,양천구,175,2256,889,51,0,2,36,5,0
1,4,영등포구,393,2853,2255,221,0,8,132,25,5
