index,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
0~9Y,40403.0,18703.0,9068.0,42444.0,5226.0,11470.0,28497.0,3390.0,13916.0,8382.0,16732.0,18940.0,50966.0,29208.0,27144.0,26252.0,49594.0,25643.0,5914.0,69690.0,40500.0,26546.0,45418.0,18349.0,8449.0
10~19Y,41350.0,23309.0,11010.0,43817.0,5935.0,16341.0,25767.0,4556.0,18690.0,10893.0,20129.0,21528.0,53091.0,35308.0,24130.0,25689.0,67999.0,30603.0,8883.0,62610.0,50199.0,33552.0,63945.0,20448.0,11131.0
20~20Y,48967.0,31572.0,12706.0,57304.0,13509.0,30115.0,36706.0,9570.0,21645.0,14660.0,34112.0,38610.0,96807.0,69492.0,31380.0,46427.0,142315.0,41525.0,9053.0,131214.0,80951.0,45692.0,115177.0,46272.0,19565.0
30~39Y,68569.0,35513.0,15657.0,73059.0,14225.0,26820.0,48675.0,9707.0,24603.0,14859.0,35227.0,40889.0,115675.0,64486.0,44895.0,55301.0,124020.0,49744.0,9672.0,170331.0,92407.0,53650.0,107962.0,49364.0,21879.0
40~49Y,68580.0,37205.0,19155.0,73637.0,11681.0,27161.0,46992.0,9702.0,28824.0,17307.0,37390.0,39549.0,108126.0,67330.0,43134.0,52360.0,129304.0,50122.0,12991.0,131798.0,96763.0,59512.0,126193.0,53783.0,22311.0
50~59Y,54800.0,38126.0,16995.0,66659.0,11416.0,23904.0,43632.0,10656.0,25107.0,19250.0,36863.0,36837.0,86847.0,64214.0,34179.0,49719.0,115349.0,46993.0,11645.0,120884.0,88980.0,54245.0,131153.0,62349.0,24699.0
60~69Y,40881.0,25496.0,12983.0,44667.0,8431.0,14800.0,31378.0,6950.0,15932.0,12397.0,27135.0,25819.0,56259.0,43554.0,24331.0,32401.0,79333.0,29721.0,7092.0,85702.0,58648.0,38492.0,97678.0,46533.0,16558.0
70~79Y,21909.0,11137.0,8585.0,22110.0,4734.0,8337.0,16593.0,3751.0,9126.0,6549.0,17277.0,15294.0,36346.0,30294.0,12294.0,20079.0,52965.0,13166.0,3944.0,46313.0,37434.0,23948.0,67093.0,27489.0,8943.0
80~89Y,8119.0,4152.0,2533.0,8319.0,1334.0,2856.0,5420.0,1138.0,3605.0,2653.0,5734.0,5497.0,13572.0,11229.0,4382.0,6828.0,18561.0,5005.0,1559.0,16370.0,14484.0,7762.0,25747.0,10963.0,2782.0
90~99Y,1470.0,702.0,383.0,1302.0,184.0,412.0,737.0,134.0,466.0,351.0,763.0,770.0,1885.0,1766.0,764.0,967.0,2733.0,854.0,209.0,2589.0,2373.0,1097.0,5505.0,2194.0,365.0
100Y,151.0,80.0,83.0,214.0,16.0,72.0,73.0,35.0,38.0,40.0,132.0,154.0,365.0,391.0,99.0,233.0,592.0,87.0,18.0,569.0,674.0,288.0,1597.0,718.0,54.0
households,154687.0,87120.0,42826.0,169656.0,35170.0,72797.0,110495.0,29307.0,61597.0,38968.0,101783.0,103977.0,279208.0,194735.0,95690.0,133626.0,371004.0,112995.0,25946.0,390994.0,260211.0,141246.0,413068.0,178606.0,62311.0
per-generation population,35.29,23.84,10.190000000000001,32.46,6.53,15.43,25.21,6.220000000000001,13.249999999999998,11.09,22.79,20.99,57.96999999999999,43.540000000000006,26.01,40.0,81.67999999999998,34.83,8.37,73.67000000000003,77.58000000000001,26.66,167.92,137.7,13.29
male,187525.0,112310.0,53049.0,211820.0,38102.0,79545.0,140753.0,31014.0,77943.0,52362.0,115666.0,119738.0,297482.0,202367.0,119713.0,154844.0,377312.0,143222.0,34783.0,426882.0,277857.0,167530.0,399753.0,172343.0,68494.0
female,207674.0,113685.0,56109.0,221712.0,38589.0,82743.0,143717.0,28575.0,84009.0,54979.0,115828.0,124149.0,322457.0,214905.0,127019.0,161412.0,405453.0,150241.0,36197.0,411188.0,285556.0,177254.0,387715.0,166119.0,68242.0
