,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,0.12499999999999997,0.17677669529663687,0.08111071056538126,0.0,0.0,0.07905694150420947,0.08333333333333333,0.0944911182523068,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.10206207261596575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중구,0.17677669529663687,0.25,0.0,0.0,0.0,0.0,0.11785113019775793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
용산구,0.08111071056538126,0.0,0.05263157894736841,0.05006261743217588,0.057353933467640436,0.0512989176042577,0.05407380704358751,0.06131393394849658,0.057353933467640436,0.0,0.0,0.05006261743217588,0.06131393394849658,0.05564148840746572,0.0,0.05564148840746572,0.05564148840746572,0.06622661785325219,0.06622661785325219,0.04891159880445184,0.06362847629757777,0.0,0.0,0.05564148840746572,0.05564148840746572
성동구,0.0,0.0,0.05006261743217588,0.04761904761904762,0.0545544725589981,0.04879500364742666,0.051434449987363975,0.058321184351980436,0.0545544725589981,0.060522753266880246,0.058321184351980436,0.04761904761904762,0.058321184351980436,0.05292561240249632,0.0,0.05292561240249632,0.05292561240249632,0.0,0.06299407883487121,0.04652421051992354,0.060522753266880246,0.058321184351980436,0.058321184351980436,0.05292561240249632,0.05292561240249632
광진구,0.0,0.0,0.057353933467640436,0.0545544725589981,0.0625,0.05590169943749474,0.05892556509887897,0.0668153104781061,0.0,0.0,0.0,0.0545544725589981,0.0668153104781061,0.06063390625908324,0.0,0.06063390625908324,0.0,0.07216878364870323,0.07216878364870323,0.053300179088902604,0.06933752452815364,0.0,0.0,0.06063390625908324,0.06063390625908324
동대문구,0.07905694150420947,0.0,0.0512989176042577,0.04879500364742666,0.05590169943749474,0.049999999999999996,0.052704627669472995,0.05976143046671968,0.05590169943749474,0.0,0.05976143046671968,0.04879500364742666,0.05976143046671968,0.05423261445466404,0.0,0.05423261445466404,0.05423261445466404,0.06454972243679029,0.06454972243679029,0.04767312946227961,0.06201736729460423,0.0,0.0,0.05423261445466404,0.05423261445466404
중랑구,0.08333333333333333,0.11785113019775793,0.05407380704358751,0.051434449987363975,0.05892556509887897,0.052704627669472995,0.055555555555555566,0.06299407883487121,0.05892556509887897,0.0,0.0,0.051434449987363975,0.06299407883487121,0.05716619504750295,0.0,0.0,0.05716619504750295,0.06804138174397718,0.06804138174397718,0.050251890762960605,0.06537204504606135,0.0,0.0,0.0,0.05716619504750295
성북구,0.0944911182523068,0.0,0.06131393394849658,0.058321184351980436,0.0668153104781061,0.05976143046671968,0.06299407883487121,0.07142857142857144,0.0,0.0,0.0,0.058321184351980436,0.07142857142857144,0.06482037235521644,0.0,0.0,0.0,0.07715167498104597,0.07715167498104597,0.05698028822981897,0.07412493166611013,0.0,0.0,0.0,0.0
강북구,0.0,0.0,0.057353933467640436,0.0545544725589981,0.0,0.05590169943749474,0.05892556509887897,0.0,0.0625,0.06933752452815364,0.0668153104781061,0.0545544725589981,0.0,0.0,0.07537783614444091,0.06063390625908324,0.06063390625908324,0.0,0.0,0.053300179088902604,0.0,0.0668153104781061,0.0668153104781061,0.06063390625908324,0.06063390625908324
도봉구,0.0,0.0,0.0,0.060522753266880246,0.0,0.0,0.0,0.0,0.06933752452815364,0.07692307692307693,0.07412493166611013,0.060522753266880246,0.0,0.0,0.08362420100070908,0.06726727939963124,0.06726727939963124,0.0,0.0,0.05913123959890826,0.0,0.07412493166611013,0.07412493166611013,0.06726727939963124,0.06726727939963124
노원구,0.0,0.0,0.0,0.058321184351980436,0.0,0.05976143046671968,0.0,0.0,0.0668153104781061,0.07412493166611013,0.07142857142857144,0.058321184351980436,0.0,0.0,0.08058229640253803,0.06482037235521644,0.06482037235521644,0.0,0.0,0.05698028822981897,0.0,0.07142857142857144,0.07142857142857144,0.06482037235521644,0.06482037235521644
은평구,0.0,0.0,0.05006261743217588,0.04761904761904762,0.0545544725589981,0.04879500364742666,0.051434449987363975,0.058321184351980436,0.0545544725589981,0.060522753266880246,0.058321184351980436,0.04761904761904762,0.058321184351980436,0.05292561240249632,0.0657951694959769,0.05292561240249632,0.05292561240249632,0.0,0.0,0.04652421051992354,0.060522753266880246,0.058321184351980436,0.058321184351980436,0.05292561240249632,0.05292561240249632
서대문구,0.0944911182523068,0.0,0.06131393394849658,0.058321184351980436,0.0668153104781061,0.05976143046671968,0.06299407883487121,0.07142857142857144,0.0,0.0,0.0,0.058321184351980436,0.07142857142857144,0.06482037235521644,0.0,0.0,0.0,0.07715167498104597,0.07715167498104597,0.05698028822981897,0.07412493166611013,0.0,0.0,0.0,0.0
마포구,0.0,0.0,0.05564148840746572,0.05292561240249632,0.06063390625908324,0.05423261445466404,0.05716619504750295,0.06482037235521644,0.0,0.0,0.0,0.05292561240249632,0.06482037235521644,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0700140042014005,0.05170876899950191,0.06726727939963124,0.06482037235521644,0.06482037235521644,0.058823529411764705,0.0
양천구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07537783614444091,0.08362420100070908,0.08058229640253803,0.0657951694959769,0.0,0.0,0.09090909090909091,0.07312724241271307,0.07312724241271307,0.0,0.0,0.0,0.0,0.08058229640253803,0.08058229640253803,0.07312724241271307,0.07312724241271307
강서구,0.0,0.0,0.05564148840746572,0.05292561240249632,0.06063390625908324,0.05423261445466404,0.0,0.0,0.06063390625908324,0.06726727939963124,0.06482037235521644,0.05292561240249632,0.0,0.058823529411764705,0.07312724241271307,0.058823529411764705,0.058823529411764705,0.0,0.0,0.05170876899950191,0.0,0.06482037235521644,0.06482037235521644,0.058823529411764705,0.058823529411764705
구로구,0.0,0.0,0.05564148840746572,0.05292561240249632,0.0,0.05423261445466404,0.05716619504750295,0.0,0.06063390625908324,0.06726727939963124,0.06482037235521644,0.05292561240249632,0.0,0.058823529411764705,0.07312724241271307,0.058823529411764705,0.058823529411764705,0.0,0.0,0.05170876899950191,0.0,0.06482037235521644,0.06482037235521644,0.058823529411764705,0.058823529411764705
금천구,0.10206207261596575,0.14433756729740646,0.06622661785325219,0.0,0.07216878364870323,0.06454972243679029,0.06804138174397718,0.07715167498104597,0.0,0.0,0.0,0.0,0.07715167498104597,0.0,0.0,0.0,0.0,0.08333333333333336,0.08333333333333336,0.06154574548966637,0.08006407690254358,0.0,0.0,0.0,0.0
영등포구,0.0,0.0,0.06622661785325219,0.06299407883487121,0.07216878364870323,0.06454972243679029,0.06804138174397718,0.07715167498104597,0.0,0.0,0.0,0.0,0.07715167498104597,0.0700140042014005,0.0,0.0,0.0,0.08333333333333336,0.08333333333333336,0.06154574548966637,0.08006407690254358,0.0,0.0,0.0,0.0
동작구,0.0,0.0,0.04891159880445184,0.04652421051992354,0.053300179088902604,0.04767312946227961,0.050251890762960605,0.05698028822981897,0.053300179088902604,0.05913123959890826,0.05698028822981897,0.04652421051992354,0.05698028822981897,0.05170876899950191,0.0,0.05170876899950191,0.05170876899950191,0.06154574548966637,0.06154574548966637,0.04545454545454545,0.05913123959890826,0.05698028822981897,0.05698028822981897,0.05170876899950191,0.05170876899950191
관악구,0.0,0.0,0.06362847629757777,0.060522753266880246,0.06933752452815364,0.06201736729460423,0.06537204504606135,0.07412493166611013,0.0,0.0,0.0,0.060522753266880246,0.07412493166611013,0.06726727939963124,0.0,0.0,0.0,0.08006407690254358,0.08006407690254358,0.05913123959890826,0.07692307692307693,0.0,0.0,0.0,0.0
서초구,0.0,0.0,0.0,0.058321184351980436,0.0,0.0,0.0,0.0,0.0668153104781061,0.07412493166611013,0.07142857142857144,0.058321184351980436,0.0,0.06482037235521644,0.08058229640253803,0.06482037235521644,0.06482037235521644,0.0,0.0,0.05698028822981897,0.0,0.07142857142857144,0.07142857142857144,0.06482037235521644,0.06482037235521644
강남구,0.0,0.0,0.0,0.058321184351980436,0.0,0.0,0.0,0.0,0.0668153104781061,0.07412493166611013,0.07142857142857144,0.058321184351980436,0.0,0.06482037235521644,0.08058229640253803,0.06482037235521644,0.06482037235521644,0.0,0.0,0.05698028822981897,0.0,0.07142857142857144,0.07142857142857144,0.06482037235521644,0.06482037235521644
송파구,0.0,0.0,0.05564148840746572,0.05292561240249632,0.06063390625908324,0.05423261445466404,0.0,0.0,0.06063390625908324,0.06726727939963124,0.06482037235521644,0.05292561240249632,0.0,0.058823529411764705,0.07312724241271307,0.058823529411764705,0.058823529411764705,0.0,0.0,0.05170876899950191,0.0,0.06482037235521644,0.06482037235521644,0.058823529411764705,0.058823529411764705
강동구,0.0,0.0,0.05564148840746572,0.05292561240249632,0.06063390625908324,0.05423261445466404,0.05716619504750295,0.0,0.06063390625908324,0.06726727939963124,0.06482037235521644,0.05292561240249632,0.0,0.0,0.07312724241271307,0.058823529411764705,0.058823529411764705,0.0,0.0,0.05170876899950191,0.0,0.06482037235521644,0.06482037235521644,0.058823529411764705,0.058823529411764705
