,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.1111111111111111,0.10540925533894598,0.0,0.0890870806374748,0.0,0.0,0.1111111111111111,0.07856742013183862,0.10540925533894598,0.0
중구,0.0,0.058823529411764705,0.0,0.0,0.0,0.05423261445466404,0.06482037235521644,0.06063390625908324,0.07669649888473705,0.05423261445466404,0.06482037235521644,0.07669649888473705,0.06482037235521644,0.06063390625908324,0.05423261445466404,0.0,0.07669649888473705,0.0,0.06482037235521644,0.0,0.06063390625908324,0.0,0.05716619504750295,0.07669649888473705,0.06063390625908324
용산구,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.06201736729460423,0.0,0.06933752452815364,0.0,0.06201736729460423,0.0,0.0,0.07412493166611013,0.06933752452815364,0.06201736729460423,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.06933752452815364,0.0,0.0,0.0,0.06933752452815364
성동구,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.06201736729460423,0.0,0.06933752452815364,0.0,0.06201736729460423,0.0,0.0,0.07412493166611013,0.06933752452815364,0.06201736729460423,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.06933752452815364,0.0,0.0,0.0,0.06933752452815364
광진구,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.06201736729460423,0.0,0.06933752452815364,0.0,0.06201736729460423,0.0,0.0,0.07412493166611013,0.06933752452815364,0.06201736729460423,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.06933752452815364,0.0,0.0,0.0,0.06933752452815364
동대문구,0.0,0.05423261445466404,0.06201736729460423,0.06201736729460423,0.06201736729460423,0.049999999999999996,0.05976143046671968,0.05590169943749474,0.07071067811865475,0.049999999999999996,0.05976143046671968,0.07071067811865475,0.05976143046671968,0.05590169943749474,0.049999999999999996,0.0,0.0,0.06201736729460423,0.05976143046671968,0.06201736729460423,0.05590169943749474,0.0,0.052704627669472995,0.0,0.05590169943749474
중랑구,0.0890870806374748,0.06482037235521644,0.0,0.0,0.0,0.05976143046671968,0.07142857142857144,0.0,0.0,0.05976143046671968,0.07142857142857144,0.08451542547285167,0.0,0.0,0.05976143046671968,0.0890870806374748,0.08451542547285167,0.0,0.07142857142857144,0.0,0.0,0.0890870806374748,0.06299407883487121,0.08451542547285167,0.0
성북구,0.0,0.06063390625908324,0.06933752452815364,0.06933752452815364,0.06933752452815364,0.05590169943749474,0.0,0.0625,0.07905694150420949,0.05590169943749474,0.0,0.0,0.0668153104781061,0.0625,0.05590169943749474,0.0,0.0,0.06933752452815364,0.0,0.06933752452815364,0.0625,0.0,0.05892556509887897,0.0,0.0625
강북구,0.0,0.07669649888473705,0.0,0.0,0.0,0.07071067811865475,0.0,0.07905694150420949,0.1,0.07071067811865475,0.0,0.1,0.0,0.07905694150420949,0.07071067811865475,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.07905694150420949
도봉구,0.0,0.05423261445466404,0.06201736729460423,0.06201736729460423,0.06201736729460423,0.049999999999999996,0.05976143046671968,0.05590169943749474,0.07071067811865475,0.049999999999999996,0.05976143046671968,0.07071067811865475,0.05976143046671968,0.05590169943749474,0.049999999999999996,0.0,0.0,0.06201736729460423,0.05976143046671968,0.06201736729460423,0.05590169943749474,0.0,0.052704627669472995,0.0,0.05590169943749474
노원구,0.0890870806374748,0.06482037235521644,0.0,0.0,0.0,0.05976143046671968,0.07142857142857144,0.0,0.0,0.05976143046671968,0.07142857142857144,0.08451542547285167,0.0,0.0,0.05976143046671968,0.0890870806374748,0.08451542547285167,0.0,0.07142857142857144,0.0,0.0,0.0890870806374748,0.06299407883487121,0.08451542547285167,0.0
은평구,0.0,0.07669649888473705,0.0,0.0,0.0,0.07071067811865475,0.08451542547285167,0.0,0.1,0.07071067811865475,0.08451542547285167,0.1,0.0,0.0,0.07071067811865475,0.0,0.0,0.0,0.08451542547285167,0.0,0.0,0.0,0.074535599249993,0.0,0.0
서대문구,0.0,0.06482037235521644,0.07412493166611013,0.07412493166611013,0.07412493166611013,0.05976143046671968,0.0,0.0668153104781061,0.0,0.05976143046671968,0.0,0.0,0.07142857142857144,0.0668153104781061,0.05976143046671968,0.0,0.0,0.07412493166611013,0.0,0.07412493166611013,0.0668153104781061,0.0,0.0,0.0,0.0668153104781061
