,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,0.09090909090909091,0.07312724241271307,0.0,0.0,0.0,0.0,0.08058229640253803,0.0,0.0,0.0,0.08058229640253803,0.11396057645963795,0.0,0.0,0.0,0.10050378152592121,0.09534625892455924,0.0,0.0778498944161523,0.0,0.0,0.10050378152592121,0.07312724241271307,0.09534625892455924,0.0
중구,0.07312724241271307,0.058823529411764705,0.0,0.0,0.0,0.05716619504750295,0.06482037235521644,0.06063390625908324,0.0,0.05716619504750295,0.06482037235521644,0.09166984970282112,0.06482037235521644,0.06262242910851494,0.05716619504750295,0.0,0.07669649888473705,0.0,0.06262242910851494,0.0,0.06262242910851494,0.0,0.058823529411764705,0.07669649888473705,0.06262242910851494
용산구,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.06537204504606135,0.0,0.06933752452815364,0.0,0.06537204504606135,0.0,0.0,0.07412493166611013,0.07161148740394328,0.06537204504606135,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07161148740394328,0.0,0.0,0.0,0.07161148740394328
성동구,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.06537204504606135,0.0,0.06933752452815364,0.0,0.06537204504606135,0.0,0.0,0.07412493166611013,0.07161148740394328,0.06537204504606135,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07161148740394328,0.0,0.0,0.0,0.07161148740394328
광진구,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.06537204504606135,0.0,0.06933752452815364,0.0,0.06537204504606135,0.0,0.0,0.07412493166611013,0.07161148740394328,0.06537204504606135,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07161148740394328,0.0,0.0,0.0,0.07161148740394328
동대문구,0.0,0.05716619504750295,0.06537204504606135,0.06537204504606135,0.06537204504606135,0.055555555555555566,0.06299407883487121,0.05892556509887897,0.0,0.055555555555555566,0.06299407883487121,0.0,0.06299407883487121,0.06085806194501846,0.055555555555555566,0.0,0.0,0.06537204504606135,0.06085806194501846,0.06537204504606135,0.06085806194501846,0.0,0.05716619504750295,0.0,0.06085806194501846
중랑구,0.08058229640253803,0.06482037235521644,0.0,0.0,0.0,0.06299407883487121,0.07142857142857144,0.0,0.0,0.06299407883487121,0.07142857142857144,0.10101525445522107,0.0,0.0,0.06299407883487121,0.0890870806374748,0.08451542547285167,0.0,0.06900655593423542,0.0,0.0,0.0890870806374748,0.06482037235521644,0.08451542547285167,0.0
성북구,0.0,0.06063390625908324,0.06933752452815364,0.06933752452815364,0.06933752452815364,0.05892556509887897,0.0,0.0625,0.0,0.05892556509887897,0.0,0.0,0.0668153104781061,0.06454972243679027,0.05892556509887897,0.0,0.0,0.06933752452815364,0.06454972243679027,0.06933752452815364,0.06454972243679027,0.0,0.06063390625908324,0.0,0.06454972243679027
강북구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.26726124191242434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
도봉구,0.0,0.05716619504750295,0.06537204504606135,0.06537204504606135,0.06537204504606135,0.055555555555555566,0.06299407883487121,0.05892556509887897,0.0,0.055555555555555566,0.06299407883487121,0.0,0.06299407883487121,0.06085806194501846,0.055555555555555566,0.0,0.0,0.06537204504606135,0.06085806194501846,0.06537204504606135,0.06085806194501846,0.0,0.05716619504750295,0.0,0.06085806194501846
노원구,0.08058229640253803,0.06482037235521644,0.0,0.0,0.0,0.06299407883487121,0.07142857142857144,0.0,0.0,0.06299407883487121,0.07142857142857144,0.10101525445522107,0.0,0.0,0.06299407883487121,0.0890870806374748,0.08451542547285167,0.0,0.06900655593423542,0.0,0.0,0.0890870806374748,0.06482037235521644,0.08451542547285167,0.0
은평구,0.11396057645963795,0.09166984970282112,0.0,0.0,0.0,0.0,0.10101525445522107,0.0,0.26726124191242434,0.0,0.10101525445522107,0.14285714285714282,0.0,0.0,0.0,0.0,0.0,0.0,0.0975900072948533,0.0,0.0,0.0,0.0,0.0,0.0
서대문구,0.0,0.06482037235521644,0.07412493166611013,0.07412493166611013,0.07412493166611013,0.06299407883487121,0.0,0.0668153104781061,0.0,0.06299407883487121,0.0,0.0,0.07142857142857144,0.06900655593423542,0.06299407883487121,0.0,0.0,0.07412493166611013,0.0,0.07412493166611013,0.06900655593423542,0.0,0.0,0.0,0.06900655593423542
마포구,0.0,0.06262242910851494,0.07161148740394328,0.07161148740394328,0.07161148740394328,0.06085806194501846,0.0,0.06454972243679027,0.0,0.06085806194501846,0.0,0.0,0.06900655593423542,0.06666666666666665,0.06085806194501846,0.0,0.0,0.07161148740394328,0.0,0.07161148740394328,0.06666666666666665,0.0,0.06262242910851494,0.0,0.06666666666666665
양천구,0.0,0.05716619504750295,0.06537204504606135,0.06537204504606135,0.06537204504606135,0.055555555555555566,0.06299407883487121,0.05892556509887897,0.0,0.055555555555555566,0.06299407883487121,0.0,0.06299407883487121,0.06085806194501846,0.055555555555555566,0.0,0.0,0.06537204504606135,0.06085806194501846,0.06537204504606135,0.06085806194501846,0.0,0.05716619504750295,0.0,0.06085806194501846
강서구,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.1111111111111111,0.10540925533894598,0.0,0.08606629658238703,0.0,0.0,0.1111111111111111,0.08084520834544431,0.10540925533894598,0.0
구로구,0.09534625892455924,0.07669649888473705,0.0,0.0,0.0,0.0,0.08451542547285167,0.0,0.0,0.0,0.08451542547285167,0.0,0.0,0.0,0.0,0.10540925533894598,0.1,0.0,0.0816496580927726,0.0,0.0,0.10540925533894598,0.07669649888473705,0.1,0.0
금천구,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.06537204504606135,0.0,0.06933752452815364,0.0,0.06537204504606135,0.0,0.0,0.07412493166611013,0.07161148740394328,0.06537204504606135,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07161148740394328,0.0,0.0,0.0,0.07161148740394328
영등포구,0.0778498944161523,0.06262242910851494,0.0,0.0,0.0,0.06085806194501846,0.06900655593423542,0.06454972243679027,0.0,0.06085806194501846,0.06900655593423542,0.0975900072948533,0.0,0.0,0.06085806194501846,0.08606629658238703,0.0816496580927726,0.0,0.06666666666666665,0.0,0.0,0.08606629658238703,0.06262242910851494,0.0816496580927726,0.0
동작구,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.06537204504606135,0.0,0.06933752452815364,0.0,0.06537204504606135,0.0,0.0,0.07412493166611013,0.07161148740394328,0.06537204504606135,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07161148740394328,0.0,0.0,0.0,0.07161148740394328
관악구,0.0,0.06262242910851494,0.07161148740394328,0.07161148740394328,0.07161148740394328,0.06085806194501846,0.0,0.06454972243679027,0.0,0.06085806194501846,0.0,0.0,0.06900655593423542,0.06666666666666665,0.06085806194501846,0.0,0.0,0.07161148740394328,0.0,0.07161148740394328,0.06666666666666665,0.0,0.06262242910851494,0.0,0.06666666666666665
서초구,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.1111111111111111,0.10540925533894598,0.0,0.08606629658238703,0.0,0.0,0.1111111111111111,0.08084520834544431,0.10540925533894598,0.0
