,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,0.09090909090909091,0.11396057645963795,0.06286946134619315,0.0,0.0,0.0657951694959769,0.07106690545187015,0.07537783614444091,0.0,0.0,0.0,0.06428243465332249,0.0657951694959769,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.061545745489666376,0.0778498944161523,0.0,0.0,0.0,0.0
중구,0.11396057645963795,0.14285714285714282,0.07881104062391006,0.0,0.0,0.08247860988423225,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.08247860988423225,0.0,0.0,0.0,0.0,0.11396057645963795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
용산구,0.06286946134619315,0.07881104062391006,0.04347826086956522,0.044455422447438706,0.047836487323493986,0.04550157551932901,0.049147318718299055,0.05212860351426869,0.05057217374241736,0.05057217374241736,0.047836487323493986,0.044455422447438706,0.04550157551932901,0.04662524041201569,0.0,0.049147318718299055,0.04550157551932901,0.06286946134619315,0.06019292654288461,0.042562826537937436,0.053838190205816545,0.05212860351426869,0.0,0.05212860351426869,0.047836487323493986
성동구,0.0,0.0,0.044455422447438706,0.04545454545454545,0.04891159880445184,0.04652421051992354,0.050251890762960605,0.053300179088902604,0.05170876899950191,0.05170876899950191,0.04891159880445184,0.04545454545454545,0.04652421051992354,0.04767312946227961,0.05913123959890826,0.050251890762960605,0.04652421051992354,0.0,0.06154574548966637,0.04351941398892446,0.05504818825631802,0.053300179088902604,0.05504818825631802,0.053300179088902604,0.04891159880445184
광진구,0.0,0.0,0.047836487323493986,0.04891159880445184,0.05263157894736841,0.05006261743217588,0.05407380704358751,0.057353933467640436,0.0,0.0,0.05263157894736841,0.04891159880445184,0.05006261743217588,0.0512989176042577,0.0,0.05407380704358751,0.05006261743217588,0.0,0.06622661785325219,0.0468292905790847,0.059234887775909226,0.057353933467640436,0.059234887775909226,0.057353933467640436,0.05263157894736841
동대문구,0.0657951694959769,0.08247860988423225,0.04550157551932901,0.04652421051992354,0.05006261743217588,0.04761904761904762,0.051434449987363975,0.0545544725589981,0.05292561240249632,0.05292561240249632,0.05006261743217588,0.04652421051992354,0.04761904761904762,0.04879500364742666,0.0,0.051434449987363975,0.04761904761904762,0.0657951694959769,0.06299407883487121,0.044543540318737404,0.0563436169819011,0.0,0.0,0.0,0.05006261743217588
중랑구,0.07106690545187015,0.0890870806374748,0.049147318718299055,0.050251890762960605,0.05407380704358751,0.051434449987363975,0.055555555555555566,0.05892556509887897,0.0,0.05716619504750295,0.0,0.050251890762960605,0.051434449987363975,0.052704627669472995,0.0,0.0,0.051434449987363975,0.07106690545187015,0.06804138174397718,0.04811252243246882,0.06085806194501846,0.0,0.0,0.0,0.05407380704358751
성북구,0.07537783614444091,0.0,0.05212860351426869,0.053300179088902604,0.057353933467640436,0.0545544725589981,0.05892556509887897,0.0625,0.0,0.0,0.057353933467640436,0.053300179088902604,0.0545544725589981,0.05590169943749474,0.0,0.0,0.0545544725589981,0.07537783614444091,0.07216878364870323,0.051031036307982884,0.06454972243679027,0.0,0.0,0.0,0.0
강북구,0.0,0.0,0.05057217374241736,0.05170876899950191,0.0,0.05292561240249632,0.0,0.0,0.058823529411764705,0.058823529411764705,0.05564148840746572,0.05170876899950191,0.05292561240249632,0.05423261445466404,0.06726727939963124,0.05716619504750295,0.05292561240249632,0.0,0.0,0.04950737714883372,0.0,0.06063390625908324,0.06262242910851494,0.06063390625908324,0.05564148840746572
도봉구,0.0,0.0,0.05057217374241736,0.05170876899950191,0.0,0.05292561240249632,0.05716619504750295,0.0,0.058823529411764705,0.058823529411764705,0.05564148840746572,0.05170876899950191,0.05292561240249632,0.0,0.06726727939963124,0.05716619504750295,0.05292561240249632,0.0,0.0,0.04950737714883372,0.0,0.06063390625908324,0.06262242910851494,0.06063390625908324,0.05564148840746572
