,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,0.1666666666666667,0.1543033499620919,0.0,0.0,0.0,0.1543033499620919,0.0,0.1666666666666667,0.0,0.0,0.0,0.2357022603955159,0.18257418583505539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중구,0.1543033499620919,0.14285714285714282,0.14285714285714282,0.1543033499620919,0.0,0.14285714285714282,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509457033,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
용산구,0.0,0.14285714285714282,0.14285714285714282,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543033499620919,0.0,0.0,0.0,0.0,0.13363062095621217,0.1690308509457033,0.0,0.1690308509457033,0.0,0.0,0.0
성동구,0.0,0.1543033499620919,0.1543033499620919,0.1666666666666667,0.1543033499620919,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505539,0.0,0.0
광진구,0.0,0.0,0.0,0.1543033499620919,0.14285714285714282,0.14285714285714282,0.1690308509457033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509457033,0.1889822365046136,0.2182178902359924
동대문구,0.1543033499620919,0.14285714285714282,0.0,0.1543033499620919,0.14285714285714282,0.14285714285714282,0.1690308509457033,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중랑구,0.0,0.0,0.0,0.0,0.1690308509457033,0.1690308509457033,0.19999999999999998,0.18257418583505539,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
성북구,0.1666666666666667,0.0,0.0,0.0,0.0,0.1543033499620919,0.18257418583505539,0.1666666666666667,0.2357022603955159,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강북구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2357022603955159,0.3333333333333334,0.3333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
도봉구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.3333333333333334,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
노원구,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.20412414523193154,0.0,0.2886751345948129,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
은평구,0.2357022603955159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.25819888974716115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서대문구,0.18257418583505539,0.1690308509457033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25819888974716115,0.19999999999999998,0.18257418583505539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
마포구,0.0,0.1543033499620919,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505539,0.1666666666666667,0.0,0.20412414523193154,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0
양천구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.22360679774997896,0.0,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0
강서구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.25,0.25,0.0,0.0,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0
구로구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.19999999999999998,0.25819888974716115,0.15811388300841894,0.0,0.18257418583505539,0.0,0.0,0.0,0.0
금천구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25819888974716115,0.3333333333333334,0.0,0.0,0.2357022603955159,0.0,0.0,0.0,0.0
영등포구,0.0,0.0,0.13363062095621217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433756729740646,0.17677669529663687,0.17677669529663687,0.15811388300841894,0.0,0.12499999999999997,0.15811388300841894,0.14433756729740646,0.0,0.0,0.0,0.0
동작구,0.0,0.0,0.1690308509457033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15811388300841894,0.19999999999999998,0.18257418583505539,0.19999999999999998,0.0,0.0,0.0
관악구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505539,0.2357022603955159,0.14433756729740646,0.18257418583505539,0.1666666666666667,0.18257418583505539,0.0,0.0,0.0
서초구,0.0,0.0,0.1690308509457033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.18257418583505539,0.19999999999999998,0.19999999999999998,0.0,0.0
강남구,0.0,0.0,0.0,0.18257418583505539,0.1690308509457033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998,0.22360679774997896,0.0
송파구,0.0,0.0,0.0,0.0,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.25,0.2886751345948129
강동구,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.3333333333333334
