attribute,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
1 lane,594.0,359.0,256.0,693.0,237.0,201.0,512.0,192.0,536.0,330.0,277.0,247.0,355.0,257.0,290.0,296.0,529.0,474.0,361.0,497.0,294.0,303.0,279.0,216.0,323.0
2 lane,200.0,169.0,142.0,296.0,175.0,102.0,262.0,168.0,318.0,134.0,206.0,127.0,283.0,153.0,179.0,200.0,178.0,293.0,184.0,392.0,180.0,125.0,159.0,118.0,235.0
3 lane,277.0,71.0,70.0,199.0,70.0,115.0,219.0,56.0,229.0,84.0,188.0,63.0,152.0,86.0,155.0,141.0,127.0,203.0,159.0,251.0,115.0,137.0,101.0,163.0,138.0
4 lane,221.0,38.0,11.0,110.0,63.0,32.0,53.0,11.0,54.0,33.0,23.0,59.0,130.0,43.0,139.0,40.0,58.0,141.0,98.0,131.0,84.0,11.0,89.0,86.0,28.0
5 lane,94.0,45.0,1.0,27.0,13.0,26.0,11.0,28.0,5.0,5.0,17.0,11.0,55.0,11.0,76.0,16.0,11.0,70.0,45.0,25.0,15.0,0.0,21.0,36.0,5.0
6 lane,28.0,5.0,0.0,9.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,2.0,13.0,1.0,2.0,24.0,1.0,6.0,5.0,0.0,7.0,9.0,0.0
7 lane,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
8 lane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101 rank,3.0,23.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,12.0
102 rank,80.0,34.0,0.0,68.0,13.0,88.0,29.0,33.0,73.0,0.0,21.0,63.0,109.0,16.0,68.0,68.0,35.0,74.0,5.0,196.0,68.0,0.0,8.0,0.0,51.0
103 rank,64.0,50.0,0.0,114.0,0.0,82.0,80.0,32.0,86.0,20.0,65.0,0.0,148.0,77.0,27.0,21.0,0.0,72.0,16.0,69.0,0.0,63.0,132.0,5.0,130.0
104 rank,266.0,66.0,79.0,27.0,41.0,48.0,99.0,30.0,30.0,51.0,69.0,89.0,0.0,64.0,169.0,160.0,163.0,132.0,92.0,51.0,125.0,50.0,100.0,195.0,40.0
105 rank,48.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
106 rank,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
107 rank,966.0,515.0,401.0,1108.0,507.0,260.0,810.0,360.0,952.0,516.0,556.0,356.0,725.0,396.0,528.0,445.0,708.0,910.0,712.0,988.0,502.0,446.0,420.0,432.0,496.0
108 rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single-link,1427.0,644.0,480.0,1300.0,561.0,428.0,985.0,456.0,1142.0,587.0,655.0,508.0,937.0,503.0,856.0,694.0,906.0,1143.0,836.0,1255.0,695.0,575.0,563.0,626.0,644.0
