date,hour,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
1,0,15342,7013,12364,4411,6074,7412,4330,2813,16693,10720,7790,5589,11258,8626,19163,6373,14734,18525,5651,11250,7172,4373,10138,9349,8519
1,1,10683,5398,7924,3726,4070,4266,3053,1229,11686,6781,5391,5383,10000,4333,12148,5604,8518,12665,3502,10206,6952,3646,5078,6700,4832
1,2,11999,6192,6379,4915,3154,5429,3215,1236,10443,7774,4064,3726,10149,5257,10871,4649,6385,10294,2225,8290,4019,3254,5208,5238,4230
1,3,11829,5487,7713,6414,3050,3702,1700,1247,11722,9183,3988,1976,8688,3721,9639,1923,6433,9427,1706,5651,3959,2044,5590,3623,4819
1,4,12329,7750,16308,5112,2996,2626,2544,2001,16931,10913,5657,2390,5158,3355,9284,2978,12902,12354,2433,6386,4378,3606,6786,5477,6517
1,5,16196,7953,21294,9495,7490,5546,4926,5383,25128,15107,8070,5659,9757,6657,19389,4038,19217,18993,3755,11641,9742,4424,11142,10951,7907
1,6,24854,11587,19017,12656,13389,11635,5895,10466,32050,19715,11459,10776,18176,10777,32247,6982,24857,34774,10732,18745,13661,5363,15834,14596,14322
1,7,30342,13170,15098,11524,12559,15344,4626,12439,36888,17916,14423,9593,19589,13711,46719,9935,28700,36942,8910,20609,19348,6797,21879,15552,16280
1,8,34961,9816,10475,12834,16447,19634,7628,13804,36061,17352,14873,10552,19539,9954,45095,10961,27329,29760,8961,24035,18654,7081,20029,21004,17395
1,9,33318,9086,12615,9933,16064,17462,6800,13694,30016,12265,12271,9319,18287,10797,43005,9317,23107,27283,7781,22738,22025,6025,20847,20165,12863
1,10,32291,9743,9945,7360,13742,19391,5934,12372,26677,13264,8680,8534,19865,10908,45302,8457,22640,28786,5993,16082,14874,4214,23372,20133,11464
1,11,30281,10350,11418,9766,12006,17802,5640,11133,24756,11528,12150,8368,13742,8475,40491,6029,24647,26099,7202,16088,12580,3288,24429,17705,12104
1,12,28314,10941,9968,8063,11999,19100,4261,10439,26587,10338,9658,8493,13289,8339,41298,7727,21277,25682,6883,16502,18449,4177,18505,18495,12855
1,13,27195,9956,11202,7936,11152,18090,4902,11583,28021,11470,12245,8752,12528,8058,41094,5638,24304,25338,6708,16886,16914,4064,17268,19093,14298
1,14,29571,9387,13705,12442,11850,18590,4545,11467,30048,14924,10556,6328,13734,8973,42478,7255,23205,28040,7571,17141,17904,4972,17372,19993,11874
1,15,27609,9003,11074,11914,11477,20221,5153,11409,32401,15597,10458,6517,14282,9141,36280,5637,24437,29811,8580,17427,16001,5229,19744,20579,13155
1,16,25535,9011,13277,11546,12981,15856,4409,10610,34422,18590,12498,7100,11080,9091,38402,5788,27559,27499,8146,15890,13337,4049,19231,16717,12458
1,17,26438,8223,13406,9171,12525,15344,4267,11950,33322,17233,14160,7100,13201,8175,40426,6722,27339,26048,7091,16199,14015,4380,16213,15918,13594
1,18,30420,8559,10269,10740,13655,12837,5050,10863,29778,15108,13430,6409,15034,7394,44818,5749,22920,27360,6992,15432,15379,4958,17446,15430,13606
1,19,27209,8947,11209,10523,12902,14356,4554,10075,26941,13641,14082,7325,14694,9384,48002,8817,24835,29480,6682,19625,16117,4060,17237,16168,12248
1,20,26556,10521,8802,8570,13413,13954,4319,9985,27183,13730,12199,9008,11043,6548,37623,6983,25073,27069,6403,17734,12596,3790,16190,17101,13020
1,21,23843,8698,10947,7759,12009,13332,4529,9133,25522,10632,11722,8578,12148,6460,34901,6457,21957,25739,5363,16632,13073,2406,16712,15074,12889
1,22,24391,7511,9757,11448,13404,10885,4630,8541,24032,10283,12450,8900,14041,8328,32827,8950,23327,30009,8320,15660,11551,2735,15340,14597,13187
1,23,21797,6159,8319,5779,13764,10251,3756,7975,19237,9387,9454,8362,10365,6630,24516,7043,18241,23972,5731,12781,10554,3181,12867,10279,8790
2,0,15063,5090,7037,11814,7798,6788,3843,2325,10491,7310,6074,6489,9296,4992,22618,4907,15435,14463,7798,12047,5895,1921,6331,6907,5099
2,1,11441,3773,4849,6802,2875,5667,2492,2127,8231,5954,5943,4705,6772,4652,11693,4797,7087,8526,3244,9011,4290,3915,4021,4812,4524
2,2,12735,5295,7211,4871,3168,5153,2740,1457,7261,6157,3934,2771,6966,4176,10429,3214,5994,7509,2171,8278,3117,1705,4541,4982,4122
2,3,10565,6819,7037,5356,2895,4573,2073,1108,7908,5739,4259,2764,5674,3234,9087,2749,5690,8374,1485,6403,3903,1116,4479,5244,3290
2,4,8129,7151,18272,10353,3527,3879,2916,1763,10584,8419,3882,2841,3705,3517,9003,2714,13417,11426,4066,7558,4209,1445,5300,5021,2967
2,5,17404,7142,18229,18146,11822,6734,7070,5903,19840,13310,5544,6635,9142,6314,20448,4676,20027,17078,9407,13965,8603,1724,10334,9177,3835
2,6,27289,10855,18585,24299,19296,10506,8267,10876,22947,15101,7503,12841,14918,9581,36864,6339,29963,32763,17867,24254,14875,2978,14241,12384,6235
2,7,37574,10505,16238,26513,17986,14836,8185,11983,21024,21832,7368,13825,15359,10546,53422,9467,30956,36531,19545,31204,23288,3364,19342,18002,7062
2,8,35295,9196,16888,25603,21293,15482,10625,12434,19280,21576,10335,13702,14212,12127,50868,9273,31126,32300,18218,29879,20947,2696,19855,20983,7158
2,9,39119,9248,15970,24709,20909,17255,8003,13366,19025,16273,7953,11646,15093,9218,48524,8677,30144,31221,17268,26862,20350,2817,18235,18430,6571
2,10,37027,8881,14271,24081,19506,19113,8225,12416,16671,17756,5530,9571,13943,9322,48258,10362,28472,28898,15756,23758,18553,2830,18601,18348,5219
2,11,29354,7445,15687,23887,17497,17127,7978,10948,16925,15359,7481,9466,13216,10000,46676,7485,28540,26618,14800,21553,20908,1990,19439,18428,5339
2,12,31188,6427,13131,25478,17365,18222,7952,10277,16909,15113,7798,11338,10395,8560,42680,6296,27617,23553,16378,21067,21178,1950,20814,20839,6090
2,13,29134,7284,16633,25648,19266,20043,6318,12327,17999,13794,8292,9998,11527,8295,45692,6066,28432,26226,17643,21792,21218,2208,19746,23568,4365
2,14,29982,8370,15047,26063,17451,16986,6645,11590,23164,19285,7209,8695,12327,8075,49750,7151,31027,28822,16044,19889,19495,2780,18818,22770,5430
2,15,31910,8110,13879,26465,17091,18508,7968,11091,24977,18469,8506,10816,12507,8100,49743,7846,29553,26814,16703,20573,18822,2204,18904,21536,6664
2,16,29971,7367,15466,26233,17066,15948,7306,12019,24088,19777,7655,9793,11102,8202,48336,8066,30729,26650,16083,20318,19297,2129,18201,19710,5543
2,17,28661,8625,12287,25445,19653,13770,6579,10653,23399,15653,7725,9973,14285,9893,52319,5990,29981,27682,15418,21468,19044,2748,17802,15846,6477
2,18,29445,11356,10200,23581,18454,14663,7899,11796,19812,16270,8225,9228,14951,7528,60913,8080,27369,24811,13951,24396,20188,2405,16529,17087,5950
2,19,31343,9276,10938,23031,18746,16689,9790,11467,17837,11694,7734,11691,15657,8846,65695,8193,26031,30646,15529,23167,22681,3429,20721,17472,6091
2,20,32170,9625,10173,23394,18086,11534,7660,10842,16881,12919,8072,10514,13076,9269,52689,7304,29045,31176,14167,25245,22954,3154,17273,18621,6879
2,21,30329,7198,9802,21143,17407,12652,6910,9077,14356,10628,7283,10507,12663,8047,41514,7179,28958,27436,15497,22506,14910,3250,17871,17612,6427
2,22,31804,7329,9431,22009,16761,12320,6476,9370,14570,11233,8402,8710,13818,8665,45545,8307,27552,29632,15232,20436,17100,3227,15068,13437,6873
2,23,25362,4536,8581,18020,16810,12651,4980,8007,12680,7780,7585,9340,11632,6963,33577,7720,23415,20687,11537,17426,16168,2172,13086,12431,6779
3,0,19609,5108,7521,8904,7875,7973,5440,3168,20895,8220,6222,5635,9400,5319,23137,7593,16368,16656,5533,10815,10120,2433,10572,10891,5632
3,1,11269,4370,5980,6177,5898,7411,2788,2174,13283,5483,4431,5601,8842,5246,13304,5666,10399,9768,2634,8085,6981,4523,5458,5009,4145
3,2,13041,4495,7744,7268,4880,6718,2520,1268,8641,7335,4594,4884,8621,4914,12206,5725,8800,8289,3279,8882,5062,3288,4632,4838,3490
3,3,10680,5716,8534,6940,4614,9076,2836,1328,13400,7168,3699,3284,7597,3941,9213,3949,8570,8599,1926,7387,5725,1603,4363,3901,4057
3,4,10034,7572,13118,8770,3832,6239,3741,2215,20656,9360,4621,2887,5830,3783,10828,4170,12467,10536,3035,6596,5803,1574,6051,4673,5141
3,5,16064,9626,16867,13709,11212,7291,7657,5821,31430,12666,7358,5957,9568,6980,17470,5239,18728,17311,6134,13698,8721,3003,9825,8267,7166
3,6,21869,10849,14851,17642,18658,11181,6806,9115,32991,13612,8798,7822,12502,8041,33886,6344,26885,24474,8085,19918,14785,3197,14237,13935,8761
3,7,24928,14192,13140,20143,17478,13504,6155,8941,36941,16034,11689,8284,14699,8164,43008,8376,28111,29597,9346,18308,16289,3332,14081,13478,8534
3,8,27639,10778,12783,18218,17181,14867,8000,10279,37246,16457,9858,8748,14310,9513,44567,7402,28804,28226,9223,18548,14869,4362,16652,14627,8870
3,9,31568,9839,11015,20858,18352,18147,6328,12074,37904,15010,10507,8850,15163,9089,45117,8462,27217,26036,10360,19032,17418,5934,18018,14649,8153
3,10,28608,8924,13627,18326,18265,24156,6944,11491,35141,14613,10414,8663,18381,9399,52412,8963,27388,23511,9662,19780,17170,4525,18575,16717,8698
3,11,29982,10826,11472,19143,18263,19438,7800,11104,32652,13788,10150,8912,15800,9870,53711,9935,28238,22481,11184,17260,18845,4136,19299,16338,10194
3,12,30419,10953,11767,19628,19517,18626,9151,10863,34067,13417,9313,9504,14989,8595,51387,6481,27319,24549,11898,18883,20136,6803,19081,17127,7201
3,13,34472,9666,14152,19576,20139,17176,10281,11700,31803,14314,9438,7825,16595,8905,53188,9080,27248,24155,10747,18196,19618,4393,19508,20220,9610
3,14,30475,9360,15192,19116,20124,20427,8163,10324,36509,15507,9929,7853,16027,11707,56010,7369,26492,24457,11211,19002,18149,3103,19759,23809,9190
3,15,26671,10024,16541,21340,19847,19324,9068,11052,39078,17025,8850,8466,12948,7603,52087,8275,28154,25067,10559,20052,17271,4314,20741,22506,9049
3,16,24948,10572,16762,21055,18959,13648,7754,8964,41819,17758,9175,8276,14235,8574,47932,7164,29693,24120,8772,18278,15684,3917,19952,22281,7776
3,17,24845,9161,15704,20035,17724,16598,7551,9025,40734,16086,9080,7641,12668,8848,52163,7116,30262,23845,8487,17890,15384,2309,17141,20036,6627
3,18,24042,8676,14156,19868,16830,16733,7836,9851,35222,14501,8745,6825,14461,7712,59142,7771,26452,24634,7290,17030,14851,1925,16352,16545,8163
3,19,27449,9223,13183,18287,17807,12825,7157,8222,32825,14220,9486,7263,12826,7405,54220,8320,28184,25686,8587,16556,15879,3445,15737,18054,7769
3,20,24381,8592,14446,15951,18048,14212,6223,8359,32245,14287,9736,6865,11359,7513,44368,6184,25193,22183,8158,16611,15635,3093,13324,15882,7957
3,21,19944,6222,13339,15594,17890,11476,6769,7963,33173,13028,9444,6837,13421,6980,39599,8301,25944,21948,7709,17306,15459,2942,15283,16537,8419
3,22,22223,6954,11994,17403,16787,10344,6600,8973,32740,12187,9271,7007,11148,7236,41937,7653,26287,21687,7710,16504,16624,2363,14963,14197,8573
3,23,25041,4683,11100,11797,16964,8232,4641,6686,26236,11354,8248,7302,11636,6536,29442,5966,20596,17293,7897,12256,15672,3135,10903,11733,6600
4,0,22010,4357,11883,9971,9831,9135,3782,5358,22007,8451,8971,10650,13832,5713,27717,6673,18872,16329,5923,11326,14624,3374,8917,10735,8046
4,1,15984,5276,6507,7305,5024,6059,2495,1596,16109,5721,4721,5736,9118,4317,17468,5024,9672,9848,2768,8105,10772,3963,5890,5253,5230
4,2,14439,5866,6393,5992,4993,6517,3139,1375,11028,6658,5132,4302,8222,4493,12731,5255,9656,7905,3240,7335,7745,3319,5388,5203,5649
4,3,13002,5868,8934,6468,3899,5191,2679,1118,11474,8034,4926,3530,8421,4009,9390,4850,9494,7932,2002,6073,10165,2336,5128,3562,4237
4,4,9879,6665,15983,8936,4215,6709,2368,2966,20835,11496,5305,4165,6608,3279,11523,4727,13388,10813,3366,5787,7735,2846,4200,4022,6107
4,5,17077,5790,21745,14567,10451,10466,7283,8352,31562,14693,7406,8944,8739,5620,22650,4531,20501,17106,7808,13611,11592,2549,7845,8627,7763
4,6,23036,9147,21851,15570,15996,15066,7911,12455,31893,16078,9736,12486,12336,6730,32995,7371,26283,22934,11435,20675,15467,3472,13544,14572,9421
4,7,21978,11612,18727,17801,13946,15763,8065,12348,34985,14296,11160,11359,13959,5648,41732,6881,27571,25148,11200,22731,14138,3720,13516,13641,9669
4,8,25558,9994,20648,16358,13584,15489,6458,11874,35920,14493,10631,12560,13393,8218,40164,5407,25281,25520,11631,21972,14711,3394,12921,15487,9259
4,9,31000,10018,16245,15491,15542,19693,7519,13796,34532,13499,9412,12309,15917,7750,42624,7082,26121,23626,12400,22904,18838,3108,16638,17234,8876
4,10,25907,9553,15026,18814,15114,22694,8597,14705,32590,14046,9216,10618,15155,7277,46058,6841,25826,25993,12218,24273,17602,3768,14705,15113,7571
4,11,26126,9411,16129,16077,14370,19914,8084,12533,32314,12750,9649,12171,13806,8234,42808,4701,26818,27012,11031,21631,17219,2694,17179,16149,9216
4,12,25154,8647,15208,15277,15697,18473,8503,12233,32089,12835,8817,10181,13112,6522,43021,6438,28384,24952,11960,23180,18161,1953,16916,19892,7241
4,13,26687,8458,15153,14098,14680,20217,6599,12197,33810,13039,10870,10539,15370,7036,45852,5717,25991,23938,12403,23767,17014,2883,15965,17946,8542
4,14,27025,8463,18116,16360,14010,19440,5787,13072,34152,13451,8864,10861,13512,7214,47316,4661,25534,26161,11273,24212,17035,3340,16904,18367,8180
4,15,25426,9240,16513,16720,14551,19955,6174,12863,32214,12317,9787,9720,13301,7759,46014,5350,27706,24672,10743,20255,17783,1937,20114,19979,8331
4,16,22558,8168,15240,15902,14839,15419,7523,11820,32652,14395,10156,10675,12110,7071,46864,4399,27092,23752,11087,20599,16010,2541,18340,21166,6886
4,17,23385,8565,15640,16418,15670,16696,7110,12993,32778,13504,10222,9965,11826,6973,46706,5590,25793,24792,10339,20368,15647,2228,16168,17182,6512
4,18,25120,9247,14798,16583,12733,16976,6344,11883,30492,14134,12522,11470,12178,6019,44811,5982,26878,25165,10357,20494,18328,1839,15193,18437,7419
